Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,eigencentrality,clustering,triangles
16996,16996,,{'scopus_id': 55803567900},"{'full_name': 'Lashmanov, Oleg U.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,16,8,0.211726,0.226127,0,0.000822,0,32,0.009711,1,10
16997,16997,,{'scopus_id': 56202387000},"{'full_name': 'Molev, Fedor'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},8,24,7,0.224197,0.243711,1193.914676,0.00128,0,32,0.016873,0.464286,13
16998,16998,,{'scopus_id': 56202332200},"{'full_name': 'Petrochenko, Andrew V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,17,7,0.211726,0.227667,39.821206,0.000793,0,32,0.009237,0.666667,4
16999,16999,,{'scopus_id': 56202477000},"{'full_name': 'Tolochek, Nina S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},2,8,8,0.203713,0.215465,0,0.000482,0,32,0.004213,1,1
17000,17000,,{'scopus_id': 37074642100},"{'full_name': 'Ezhova, Vasilisa'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,8,8,0.194387,0.208116,0,0.000643,0,5,0.006755,1,3
17001,17001,,{'scopus_id': 8388135700},"{'full_name': 'Vasilev, V. N.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},10,32,8,0.207413,0.226984,4392.803907,0.001874,0,5,0.015655,0.333333,15
17002,17002,,{'scopus_id': 56019048600},"{'full_name': 'Grimm, V. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,20,9,0.171958,0.183679,0,0.001017,0,5,0.00667,1,10
17003,17003,,{'scopus_id': 8215289000},"{'full_name': 'Romanova, G. E.'}",{'department': '[304] кафедра прикладной и компьютерной оптики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[304] кафедра прикладной и компьютерной оптики'},5,20,9,0.171958,0.183679,0,0.001017,0,5,0.00667,1,10
17004,17004,,{'scopus_id': 57195924334},"{'full_name': 'Smirnov, S. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,20,9,0.171958,0.183679,0,0.001017,0,5,0.00667,1,10
17005,17005,,{'scopus_id': 6505787200},"{'full_name': 'Bakholdin, A. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,20,9,0.171958,0.183679,0,0.001017,0,5,0.00667,1,10
17006,17006,,{'scopus_id': 56202773500},"{'full_name': 'Grishina, N. Y.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,20,9,0.171958,0.183679,0,0.001017,0,5,0.00667,1,10
17007,17007,,{'scopus_id': 56202585100},"{'full_name': 'Luyen, Nguyen V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},2,8,8,0.194074,0.206341,0,0.000484,0,5,0.00478,1,1
17008,17008,,{'scopus_id': 35086791000},"{'full_name': 'Popugaev, Alexander E.'}",{'department': nan},{'country': 'Germany'},{'university': 'Fraunhofer Institute for Integrated Circuits IIS'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},2,8,8,0.190272,0.20085,0,0.000469,0,25,0.004038,1,1
17009,17009,,{'scopus_id': 56194031700},"{'full_name': 'Gerard, T.'}",{'department': nan},{'country': 'France'},{'university': 'Centre de Mise en Forme des Materiaux'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},3,12,1,1,1,0,0.001104,13,33,0.002359,1,3
17010,17010,,{'scopus_id': 7004012583},"{'full_name': 'Budtova, T.'}",{'department': nan},{'country': 'France'},{'university': 'Centre de Mise en Forme des Materiaux'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},3,12,1,1,1,0,0.001104,13,33,0.002359,1,3
17011,17011,,{'scopus_id': 55572522800},"{'full_name': 'Podshivalov, A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,12,1,1,1,0,0.001104,13,33,0.002359,1,3
17012,17012,,{'scopus_id': 7003280956},"{'full_name': 'Bronnikov, S.'}",{'department': nan},{'country': 'Russian Federation'},"{'university': 'Institute of Macromolecular Compounds, Russian Academy of Sciences'}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},3,12,1,1,1,0,0.001104,13,33,0.002359,1,3
17013,17013,,{'scopus_id': 55801868700},"{'full_name': 'Kolodyaznaya, V.'}","{'department': '[911] кафедра технологии мясных,рыбных продуктов и консервирования холодом'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[911] кафедра технологии мясных,рыбных продуктов и консервирования холодом'}",2,9,9,0.168797,0.176587,0,0.000694,0,1,0.001948,1,1
17014,17014,,{'scopus_id': 56180863600},"{'full_name': 'Broyko, Y.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},2,8,9,0.168797,0.176587,0,0.000694,0,1,0.001948,1,1
17015,17015,,{'scopus_id': 56180960600},"{'full_name': 'Suchkova, E.'}",{'department': '[910] кафедра прикладной биотехнологии'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[910] кафедра прикладной биотехнологии'},3,8,8,0.202832,0.215197,0,0.000741,0,1,0.006053,1,3
17016,17016,,{'scopus_id': 56180145800},"{'full_name': 'Shershenkov, B.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,8,8,0.202832,0.215197,0,0.000741,0,1,0.006053,1,3
17018,17018,,{'scopus_id': 57211180379},"{'full_name': 'Orlova, O.'}",{'department': '[910] кафедра прикладной биотехнологии'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[910] кафедра прикладной биотехнологии'},5,16,7,0.252616,0.27293,844,0.000846,0,1,0.037558,0.6,6
17019,17019,,{'scopus_id': 56179997100},"{'full_name': 'Nasonova, U.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},1,4,8,0.201719,0.211331,0,0.000309,0,1,0.002656,0,0
17020,17020,,{'scopus_id': 56180462300},"{'full_name': 'Nadtochii, L.'}",{'department': '[910] кафедра прикладной биотехнологии'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[910] кафедра прикладной биотехнологии'},1,4,1,1,1,0,0.001104,14,34,0.000558,0,0
17021,17021,,{'scopus_id': 56180071500},"{'full_name': 'Koryagina, A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},1,4,1,1,1,0,0.001104,14,34,0.000558,0,0
17022,17022,,{'scopus_id': 56157070500},"{'full_name': 'Demichev, I. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},8,28,7,0.25521,0.277901,3262.230819,0.00117,0,1,0.046523,0.571429,16
17023,17023,,{'scopus_id': 56784249300},"{'full_name': 'Sgibnev, E. M.'}",{'department': '[514] кафедра оптоинформационных технологий и материалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[514] кафедра оптоинформационных технологий и материалов'},6,40,7,0.251938,0.272773,0,0.000815,0,1,0.043465,1,15
17024,17024,,{'scopus_id': 24166840800},"{'full_name': 'Khrushcheva, T. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,33,7,0.251938,0.272773,0,0.000815,0,1,0.043465,1,15
17027,17027,,{'scopus_id': 7003797879},"{'full_name': 'Kurdyukov, D. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},9,28,7,0.260722,0.28437,743.546317,0.001019,0,2,0.047886,0.5,18
17028,17028,,{'scopus_id': 55850387200},"{'full_name': 'Eurov, D. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,20,7,0.244573,0.263026,0,0.000724,0,2,0.027785,1,15
17029,17029,,{'scopus_id': 56151735500},"{'full_name': 'Stovpiaga, E. Yu'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,20,7,0.244573,0.263026,0,0.000724,0,2,0.027785,1,15
17030,17030,,{'scopus_id': 55356577000},"{'full_name': 'Yakovlev, S. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,20,7,0.244573,0.263026,0,0.000724,0,2,0.027785,1,15
17031,17031,,{'scopus_id': 56117988800},"{'full_name': 'Neira, Andres D.'}",{'department': nan},{'country': 'United Kingdom'},"{'university': ""King's College London""}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},10,32,7,0.266646,0.289394,745.216574,0.001036,0,2,0.085608,0.466667,21
