Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality
17521,17521,,{'scopus_id': 36038963000},"{'full_name': 'Kivshar, Yu S.'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 26},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},53,275,5,0.422101,0.528183,8648.195537,0,0,0.164006,226,1
17519,17519,,{'scopus_id': 7006167582},"{'full_name': 'Belov, P. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 20},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},42,207,5,0.400344,0.491702,4217.755544,0,0,0.207898,179,0.83076
17532,17532,,{'scopus_id': 14008386700},"{'full_name': 'Fedorov, Anatoly V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 11},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},26,136,6,0.317439,0.401431,617.889668,0,2,0.375385,122,0.529355
17531,17531,,{'scopus_id': 7201565128},"{'full_name': 'Baranov, Alexander V.'}",{'department': '[518] кафедра оптической физики и современного естествознания'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 10},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[518] кафедра оптической физики и современного естествознания'},32,133,6,0.322268,0.416023,2264.750944,0,2,0.272177,135,0.547151
17536,17536,,{'scopus_id': 23568349200},"{'full_name': 'Poddubny, Alexander N.'}",{'department': '[519] кафедра фотоники и оптоинформатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 10},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[519] кафедра фотоники и оптоинформатики'},25,109,5,0.355725,0.43319,1080.452205,0,0,0.3,90,0.548688
17522,17522,,{'scopus_id': 15050740400},"{'full_name': 'Kapitanova, Polina'}",{'department': '[519] кафедра фотоники и оптоинформатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 9},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[519] кафедра фотоники и оптоинформатики'},19,102,5,0.331437,0.39671,228.630857,0,0,0.473684,81,0.475755
17520,17520,,{'scopus_id': 6602169577},"{'full_name': 'Shadrivov, I. V.'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 7},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},18,80,5,0.338663,0.402289,353.85689,0,0,0.431373,66,0.440428
17526,17526,,{'scopus_id': 6506955578},"{'full_name': 'Rukhlenko, Ivan D.'}",{'department': nan},{'country': 'Australia'},{'university': 'Monash University'},{'position': nan},{'total_pub': 7},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},19,105,5,0.330966,0.397854,388.690166,0,2,0.467836,80,0.517355
17538,17538,,{'scopus_id': 55247072700},"{'full_name': 'Maslov, V. G.'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ведущий научный сотрудник'},{'total_pub': 7},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",17,44,6,0.29125,0.360658,1798.291088,0,18,0.257353,35,0.206239
17546,17546,,{'scopus_id': 7004762005},"{'full_name': 'Artemyev, Mikhail V.'}",{'department': nan},{'country': 'Belarus'},{'university': 'Research Institute for Physical Chemical Problems of the Belarusian State University'},{'position': nan},{'total_pub': 6},{'itmo_and_others': 'Belarus'},{'itmo_depart_and_others': 'Belarus'},22,112,6,0.315718,0.392847,489.164644,0,2,0.445887,103,0.479212
