Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles
9947,9947,,{'scopus_id': 57214072878},"{'full_name': 'Vasiliev, A. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,10,0.154405,0.159256,0,0,7,1,6
9948,9948,,{'scopus_id': 57190754503},"{'full_name': 'Belikova, Valeria'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Samara State Technical University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,20,8,0.211965,0.221496,0,0,9,1,15
9949,9949,,{'scopus_id': 55282284500},"{'full_name': 'Legin, Evgeny'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,27,8,0.211965,0.221496,0,0,9,1,15
9950,9950,,{'scopus_id': 57216903838},"{'full_name': 'Melenteva, Anastasia'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,20,8,0.211965,0.221496,0,0,9,1,15
9951,9951,,{'scopus_id': 9334743900},"{'full_name': 'Sinha, Roopak'}",{'department': nan},{'country': 'New Zealand'},{'university': 'Auckland University of Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'New Zealand'},{'itmo_depart_and_others': 'New Zealand'},10,32,8,0.226519,0.240176,2967.279527,0,9,0.466667,21
9952,9952,,{'scopus_id': 14028292400},"{'full_name': 'Dowdeswell, Barry'}",{'department': nan},{'country': 'New Zealand'},{'university': 'Auckland University of Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'New Zealand'},{'itmo_depart_and_others': 'New Zealand'},4,12,8,0.215648,0.226898,0,0,9,1,6
9954,9954,,{'scopus_id': 57197726550},"{'full_name': 'Poleschuk, E. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},8,22,8,0.216583,0.22891,8832.421794,0,7,0.428571,12
9959,9959,,{'scopus_id': 57204723641},"{'full_name': 'Yakunenkov, R. E.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,20,8,0.234909,0.247137,0,0,15,1,15
9963,9963,,{'scopus_id': 36860540400},"{'full_name': 'Grebennikov, E. P.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'TsNITI Tekhnomash'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,50,8,0.238248,0.253178,5067.698542,0,7,0.461538,36
9965,9965,,{'scopus_id': 22938411800},"{'full_name': 'Levchenko, K. S.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'TsNITI Tekhnomash'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},7,28,8,0.205183,0.216185,0,0,7,1,21
9976,9976,,{'scopus_id': 57202798532},"{'full_name': 'DE ALDANA, Javier Rodríguez Vázquez'}",{'department': nan},{'country': 'Spain'},{'university': 'Universidad de Salamanca'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Spain'},{'itmo_depart_and_others': 'Spain'},15,104,8,0.242501,0.259879,0,0,31,1,105
9977,9977,,{'scopus_id': 57212270121},"{'full_name': 'Choi, Sun Yung'}",{'department': nan},{'country': 'South Korea'},{'university': 'Korea Advanced Institute of Science and Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'South Korea'},{'itmo_depart_and_others': 'South Korea'},15,104,8,0.242501,0.259879,0,0,31,1,105
9978,9978,,{'scopus_id': 57193088967},"{'full_name': 'Bae, Ji Eun'}",{'department': nan},{'country': 'South Korea'},{'university': 'Korea Advanced Institute of Science and Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'South Korea'},{'itmo_depart_and_others': 'South Korea'},15,56,8,0.242501,0.259879,0,0,31,1,105
9979,9979,,{'scopus_id': 7003540294},"{'full_name': 'Rotermund, Fabian'}",{'department': nan},{'country': 'South Korea'},{'university': 'Korea Advanced Institute of Science and Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'South Korea'},{'itmo_depart_and_others': 'South Korea'},15,56,8,0.242501,0.259879,0,0,31,1,105
9980,9980,,{'scopus_id': 57210369366},"{'full_name': 'Gusev, G. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},30,242,8,0.26611,0.290827,9683.54502,0,31,0.482759,210
9983,9983,,{'scopus_id': 26536321700},"{'full_name': 'Nevedomskii, V. N.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},15,56,8,0.25278,0.272588,0,0,4,1,105
9984,9984,,{'scopus_id': 57190376884},"{'full_name': 'Belyavskii, A. O.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},17,148,8,0.26252,0.282778,3033.484512,0,4,0.779412,106
9988,9988,,{'scopus_id': 57035333400},"{'full_name': 'Mukhina, Ksenia'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,8,0.222913,0.234712,0,0,14,1,6
9991,9991,,{'scopus_id': 55190686900},"{'full_name': 'Besson, F.'}",{'department': nan},{'country': 'France'},{'university': 'Centre de Mise en Forme des Materiaux'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},4,15,9,0.180973,0.188137,0,0,14,1,6
9992,9992,,{'scopus_id': 7004012583},"{'full_name': 'Budtova, T.'}",{'department': nan},{'country': 'France'},{'university': 'Centre de Mise en Forme des Materiaux'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},4,12,9,0.180973,0.188137,0,0,14,1,6
9993,9993,,{'scopus_id': 57188741483},"{'full_name': 'Melnikov, Valentin'}",{'department': nan},{'country': 'Singapore'},{'university': 'Complexity Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Singapore'},{'itmo_depart_and_others': 'Singapore'},8,19,8,0.220472,0.232921,10618.154066,0,14,0.428571,12
9996,9996,,{'scopus_id': 57194050221},"{'full_name': 'Volokitina, Anna'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},11,44,8,0.250054,0.267163,0,0,31,1,55
9997,9997,,{'scopus_id': 7005249543},"{'full_name': 'Alekseeva, Irina'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'S.I. Vavilov State Optical Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},11,44,8,0.250054,0.267163,0,0,31,1,55
