Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality
6383,6383,,{'scopus_id': 56819964000},"{'full_name': 'Babichev, A. V.'}",{'department': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},{'country': 'Russian Federation'},{'university': 'St Petersburg National Research Academic University of the Russian Academy of Sciences'},{'position': 'инженер'},{'total_pub': 19},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},88,496,8,0.302819,0.339707,93867.57054,0,8,0.229624,879,0.834709
6300,6300,,{'scopus_id': 7202910606},"{'full_name': 'Petrov, N. V.'}",{'department': '[720] факультет фотоники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[720] факультет фотоники'},44,217,8,0.272442,0.297754,44845.837362,0,38,0.233615,221,0.137386
6324,6324,,{'scopus_id': 57205955669},"{'full_name': 'Makarov, S. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},108,329,7,0.33091,0.374039,156226.788698,0,2,0.124957,722,0.910725
6778,6778,,{'scopus_id': 15056197500},"{'full_name': 'Krivoshapkina, Elena F.'}",{'department': '[980] химико-биологический кластер'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[980] химико-биологический кластер'},86,281,7,0.298377,0.332535,135470.123244,0,1,0.123666,452,0.292117
7320,7320,,{'scopus_id': 6507383012},"{'full_name': 'Konyakhin, Igor'}",{'department': '[764] инженерно-исследовательский факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[764] инженерно-исследовательский факультет'},33,137,9,0.226935,0.245829,46149.429508,0,40,0.191288,101,0.04982
6302,6302,,{'scopus_id': 56366230300},"{'full_name': 'Tsypkin, A. N.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},46,218,7,0.289638,0.316924,45328.03199,0,39,0.201932,209,0.196233
6315,6315,,{'scopus_id': 55960365900},"{'full_name': 'Petrov, M. I.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},68,244,7,0.315512,0.354569,104726.987547,0,22,0.158911,362,0.607104
6316,6316,,{'scopus_id': 7006167582},"{'full_name': 'Belov, P. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},76,294,8,0.304556,0.342211,78041.960746,0,5,0.171579,489,0.585763
6350,6350,,{'scopus_id': 7202658480},"{'full_name': 'Novikov, I. I.'}",{'department': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},64,462,8,0.2892,0.322053,26030.343276,0,8,0.33879,683,0.700025
6633,6633,,{'scopus_id': 7202793493},"{'full_name': 'Ortega, Romeo'}",{'department': nan},{'country': 'France'},{'university': 'Laboratoire des Signaux et Systèmes'},{'position': nan},{'total_pub': 17},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},36,140,8,0.272935,0.296359,42056.463182,0,5,0.152381,96,0.081409
