Source,Target,Type,Id,Label,timeset,Weight
9129,9130,Undirected,0,,,5
9129,9131,Undirected,1,,,5
9129,9132,Undirected,2,,,5
9129,9133,Undirected,3,,,5
9129,9134,Undirected,4,,,5
9129,11126,Undirected,5,,,6
9130,9131,Undirected,6,,,6
9130,9132,Undirected,7,,,8
9130,9133,Undirected,8,,,6
9130,9134,Undirected,9,,,16
9130,9135,Undirected,10,,,8
9130,9136,Undirected,11,,,6
9130,9137,Undirected,12,,,7
9130,9138,Undirected,13,,,6
9130,9139,Undirected,14,,,2
9130,9140,Undirected,15,,,5
9130,9877,Undirected,16,,,5
9130,9878,Undirected,17,,,3
9130,9359,Undirected,18,,,3
9130,10249,Undirected,19,,,8
9130,9661,Undirected,20,,,3
9130,11014,Undirected,21,,,21
9130,10333,Undirected,22,,,1
9130,9895,Undirected,23,,,1
9130,11123,Undirected,24,,,2
9130,11126,Undirected,25,,,6
9130,11129,Undirected,26,,,7
9130,11130,Undirected,27,,,4
9130,9885,Undirected,28,,,1
9130,11311,Undirected,29,,,8
9130,9727,Undirected,30,,,1
9130,10051,Undirected,31,,,1
9130,9612,Undirected,32,,,1
9130,9611,Undirected,33,,,1
9130,9221,Undirected,34,,,1
9130,9219,Undirected,35,,,1
9130,11327,Undirected,36,,,8
9131,9132,Undirected,37,,,6
9131,9133,Undirected,38,,,6
9131,9134,Undirected,39,,,6
9131,11014,Undirected,40,,,7
9131,10333,Undirected,41,,,1
9131,9895,Undirected,42,,,1
9131,11126,Undirected,43,,,6
9132,9133,Undirected,44,,,6
9132,9134,Undirected,45,,,9
9132,9135,Undirected,46,,,3
9132,9136,Undirected,47,,,4
9132,9137,Undirected,48,,,5
9132,9138,Undirected,49,,,3
9132,9139,Undirected,50,,,2
9132,9140,Undirected,51,,,3
9132,9333,Undirected,52,,,2
9132,9334,Undirected,53,,,2
9132,9335,Undirected,54,,,5
9132,9336,Undirected,55,,,2
9132,9337,Undirected,56,,,2
9132,9338,Undirected,57,,,2
9132,9339,Undirected,58,,,5
9132,9340,Undirected,59,,,6
9132,9713,Undirected,60,,,5
9132,9421,Undirected,61,,,1
9132,9413,Undirected,62,,,1
9132,9714,Undirected,63,,,4
9132,9359,Undirected,64,,,1
9132,9143,Undirected,65,,,2
9132,9808,Undirected,66,,,5
9132,9809,Undirected,67,,,4
9132,9810,Undirected,68,,,4
9132,9811,Undirected,69,,,2
9132,9940,Undirected,70,,,3
9132,9674,Undirected,71,,,4
9132,9941,Undirected,72,,,5
9132,10024,Undirected,73,,,5
9132,10025,Undirected,74,,,3
9132,9427,Undirected,75,,,1
9132,9145,Undirected,76,,,4
9132,10284,Undirected,77,,,3
9132,10285,Undirected,78,,,5
9132,10333,Undirected,79,,,3
9132,10334,Undirected,80,,,3
9132,9892,Undirected,81,,,1
9132,9817,Undirected,82,,,1
9132,10991,Undirected,83,,,4
9132,11014,Undirected,84,,,16
9132,9895,Undirected,85,,,1
9132,9661,Undirected,86,,,1
9132,11072,Undirected,87,,,5
9132,10990,Undirected,88,,,1
9132,11108,Undirected,89,,,2
9132,11109,Undirected,90,,,2
9132,11110,Undirected,91,,,5
9132,9686,Undirected,92,,,1
9132,9415,Undirected,93,,,1
9132,11116,Undirected,94,,,3
9132,10577,Undirected,95,,,2
9132,11117,Undirected,96,,,2
9132,11118,Undirected,97,,,5
9132,9221,Undirected,98,,,1
9132,9677,Undirected,99,,,2
9132,10578,Undirected,100,,,2
9132,11123,Undirected,101,,,5
9132,11126,Undirected,102,,,6
9132,11164,Undirected,103,,,6
9132,11165,Undirected,104,,,2
9133,9134,Undirected,105,,,6
9133,11014,Undirected,106,,,7
9133,10333,Undirected,107,,,1
9133,9895,Undirected,108,,,1
9133,11126,Undirected,109,,,6
9134,9135,Undirected,110,,,9
9134,9136,Undirected,111,,,6
9134,9137,Undirected,112,,,7
9134,9138,Undirected,113,,,6
9134,9139,Undirected,114,,,2
9134,9140,Undirected,115,,,6
9134,9421,Undirected,116,,,6
9134,9422,Undirected,117,,,5
9134,9423,Undirected,118,,,2
9134,9424,Undirected,119,,,4
9134,9425,Undirected,120,,,6
9134,9426,Undirected,121,,,5
9134,9359,Undirected,122,,,9
9134,9427,Undirected,123,,,9
9134,9428,Undirected,124,,,1
9134,9637,Undirected,125,,,3
9134,9638,Undirected,126,,,3
9134,9639,Undirected,127,,,6
9134,9640,Undirected,128,,,2
