Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,clustering,triangles
11869,11869,,{'scopus_id': 26431125600},"{'full_name': 'Solntsev, Alexander S.'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 5},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},27,154,6,0.277307,0.302303,2925.709943,0.000838,0,1,0.561254,197
11884,11884,,{'scopus_id': 6507090891},"{'full_name': 'Lukichev, Dmitry V.'}",{'department': '[208] кафедра электротехники и прецизионных электромеханических систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[208] кафедра электротехники и прецизионных электромеханических систем'},9,29,7,0.24552,0.261233,8873.849678,0.000626,0,24,0.25,9
11885,11885,,{'scopus_id': 56974083200},"{'full_name': 'Demidova, Galina L.'}",{'department': '[208] кафедра электротехники и прецизионных электромеханических систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ассистент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[208] кафедра электротехники и прецизионных электромеханических систем'},6,24,7,0.236272,0.249683,3843.53743,0.00048,0,24,0.4,6
11892,11892,,{'scopus_id': 12243807500},"{'full_name': 'Lazarev, V. L.'}",{'department': '[952] кафедра теплофизики и теоретических основ тепло-хладотехники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[952] кафедра теплофизики и теоретических основ тепло-хладотехники'},10,22,7,0.268632,0.29037,4727.131136,0.000431,0,0,0.244444,11
11897,11897,,{'scopus_id': 57203076538},"{'full_name': 'Webb, A.'}",{'department': nan},{'country': 'United Kingdom'},{'university': 'Medical Wireless Sensing Ltd'},{'position': nan},{'total_pub': 5},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},22,78,7,0.282787,0.308067,603.021082,0.000708,0,0,0.424242,98
11910,11910,,{'scopus_id': 53164175300},"{'full_name': 'Krasilin, A.'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},25,92,7,0.29746,0.326773,3172.004915,0.000751,0,0,0.51,153
11917,11917,,{'scopus_id': 57194081345},"{'full_name': 'Afanasev, Maxim Ya'}",{'department': '[301] кафедра технологии приборостроения'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[301] кафедра технологии приборостроения'},8,32,8,0.237551,0.253186,2574.811912,0.000477,0,8,0.428571,12
11918,11918,,{'scopus_id': 57194080548},"{'full_name': 'Fedosov, Yuri V.'}",{'department': '[301] кафедра технологии приборостроения'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[301] кафедра технологии приборостроения'},8,32,8,0.237551,0.253186,2574.811912,0.000477,0,8,0.428571,12
11991,11991,,{'scopus_id': 8388135700},"{'full_name': ""Vasil'Ev, V. N.""}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},15,48,7,0.269946,0.290241,10027.348497,0.00068,0,7,0.342857,36
11998,11998,,{'scopus_id': 55246080000},"{'full_name': 'Ezhova, K. V.'}",{'department': '[304] кафедра прикладной и компьютерной оптики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[304] кафедра прикладной и компьютерной оптики'},20,64,7,0.24958,0.27358,19497.09147,0.001079,0,8,0.310526,59
12014,12014,,{'scopus_id': 7006413912},"{'full_name': 'Barabanov, Nikita'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},9,35,7,0.271768,0.291,2484.219656,0.0004,0,5,0.444444,16
12097,12097,,{'scopus_id': 6701496891},"{'full_name': 'Alu, Andrea'}",{'department': nan},{'country': 'United States'},{'university': 'The University of Texas at Austin'},{'position': nan},{'total_pub': 5},{'itmo_and_others': 'United States'},{'itmo_depart_and_others': 'United States'},18,74,7,0.288444,0.312419,23914.675954,0.000676,0,0,0.320261,49
12111,12111,,{'scopus_id': 27967561600},"{'full_name': 'Akimov, A. V.'}",{'department': nan},{'country': 'United States'},{'university': 'Texas A&amp'},{'position': nan},{'total_pub': 5},{'itmo_and_others': 'United States'},{'itmo_depart_and_others': 'United States'},25,120,7,0.281961,0.310107,1817.81651,0.000795,0,1,0.423333,127
12152,12152,,{'scopus_id': 56127302800},"{'full_name': 'Gatchin, Yurij'}",{'department': '[108] кафедра проектирования и безопасности компьютерных систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[108] кафедра проектирования и безопасности компьютерных систем'},18,62,7,0.236099,0.2548,8032.13808,0.000891,0,7,0.346405,53
12161,12161,,{'scopus_id': 55248184200},"{'full_name': 'Chechulin, Andrey'}",{'department': '[166] кафедра безопасности киберфизических систем'},{'country': 'Russian Federation'},{'university': 'St. Petersburg Federal Research Center of the Russian Academy of Sciences'},{'position': 'старший научный сотрудник'},{'total_pub': 5},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},11,38,7,0.249612,0.2676,1196.41956,0.000581,0,37,0.418182,23
12167,12167,,{'scopus_id': 6506336515},"{'full_name': 'Smolyanskaya, O. A.'}",{'department': '[519] кафедра фотоники и оптоинформатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[519] кафедра фотоники и оптоинформатики'},31,81,7,0.251072,0.27506,28579.531523,0.001562,0,35,0.191398,89
12212,12212,,{'scopus_id': 6505788427},"{'full_name': 'Troshkov, Sergey I.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 5},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},39,144,7,0.287586,0.321442,14989.50749,0.001126,0,14,0.333333,247
