Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles,componentnumber
1,1,,{'scopus_id': 7003951067},"{'full_name': 'Shelykh, I. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},86,239,7,0.272515,0.308252,66448.756276,0.184969,19,0.126949,464,0
20,20,,{'scopus_id': 56819964000},"{'full_name': 'Babichev, A. V.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[840] лаборатория однофотонных детекторов и генераторов'},92,527,6,0.303484,0.342126,73518.229403,0.492386,2,0.213808,895,0
547,547,,{'scopus_id': 56607172800},"{'full_name': 'Zharinov, O. O.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint-Petersburg State University of Aerospace Instrumentation'},{'position': nan},{'total_pub': 18},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},15,117,8,0.246365,0.263232,8516.773352,0.022387,0,0.371429,39,0
839,839,,{'scopus_id': 8046819200},"{'full_name': 'Bobtsov, Alexey'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},55,230,7,0.283025,0.314023,87008.251973,0.170762,10,0.138047,205,0
2,2,,{'scopus_id': 22835225400},"{'full_name': 'Iorsh, I. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},55,150,7,0.280188,0.312174,50250.368351,0.159534,19,0.159596,237,0
36,36,,{'scopus_id': 7005945087},"{'full_name': 'Cirlin, G. E.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},87,320,7,0.304012,0.341455,57814.466129,0.457433,3,0.173216,648,0
141,141,,{'scopus_id': 57191198114},"{'full_name': 'Zuev, Dmitry A.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},84,272,7,0.316899,0.355169,96714.618,0.338528,20,0.127367,444,0
370,370,,{'scopus_id': 56940302800},"{'full_name': 'Baranov, Mikhail'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'младший научный сотрудник'},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},96,278,6,0.330496,0.372711,181246.788556,0.448143,4,0.111404,508,0
481,481,,{'scopus_id': 55667313600},"{'full_name': 'Yulin, A. V.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ведущий научный сотрудник'},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},64,212,7,0.301326,0.335392,76972.335151,0.22254,19,0.156746,316,0
27,27,,{'scopus_id': 57061690000},"{'full_name': 'Fedorov, V. V.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Alferov University'},{'position': nan},{'total_pub': 16},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},71,273,6,0.323499,0.36163,41585.049028,0.544561,1,0.239839,596,0
