Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,eigencentrality,clustering,triangles,componentnumber,modularity_class
5240,5240,,{'scopus_id': 57209074397},"{'full_name': 'Nedosekin, Gleb'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,8,0.21172,0.221544,0,0,0.00616,1,6,0,1
5241,5241,,{'scopus_id': 57195726454},"{'full_name': 'Minnigazimov, R. I.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},1,4,1,1,1,0,0,0.000319,0,0,8,35
5242,5242,,{'scopus_id': 16464811000},"{'full_name': 'Mitrofanov, S. S.'}",{'department': '[764] инженерно-исследовательский факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[764] инженерно-исследовательский факультет'},1,4,1,1,1,0,0,0.000319,0,0,8,35
5243,5243,,{'scopus_id': 57218289949},"{'full_name': 'Kirienko, O.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,9,8,0.241027,0.255984,0,0,0.018581,1,3,0,11
5244,5244,,{'scopus_id': 57192275971},"{'full_name': 'Nikolay, Mustafin'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Sankt-Peterburgskij Gosudarstvennyj Elektrotehniceskij Universitet'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},28,230,8,0.270068,0.295275,136856.80712,0,0.200855,0.26455,100,0,5
5245,5245,,{'scopus_id': 57216858413},"{'full_name': 'Malyuga, Konstantin'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,12,1,1,1,0,0,0.001162,1,3,9,36
5246,5246,,{'scopus_id': 57216857752},"{'full_name': 'Perl, Olga'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,12,1,1,1,0,0,0.001162,1,3,9,36
5247,5247,,{'scopus_id': 57216863398},"{'full_name': 'Slapoguzov, Alexandr'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,12,1,1,1,0,0,0.001162,1,3,9,36
5248,5248,,{'scopus_id': 56830509800},"{'full_name': 'Perl, Ivan'}",{'department': '[762] факультет программной инженерии и компьютерной техники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[762] факультет программной инженерии и компьютерной техники'},3,12,1,1,1,0,0,0.001162,1,3,9,36
5250,5250,,{'scopus_id': 57216868996},"{'full_name': 'Vinogradova, Taisiia'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,24,9,0.187236,0.195746,0,0,0.006028,1,21,0,1
5253,5253,,{'scopus_id': 57211589405},"{'full_name': 'Meleshkova, Zoia'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},2,8,10,0.163309,0.169238,0,0,0.00141,1,1,0,1
