Source,Target,Type,Id,Label,timeset,Weight
14966,14967,Undirected,0,,,5
14966,14968,Undirected,1,,,4
14966,14969,Undirected,2,,,5
14966,14970,Undirected,3,,,5
14966,14971,Undirected,4,,,5
14966,15039,Undirected,5,,,5
14967,14968,Undirected,6,,,4
14967,14969,Undirected,7,,,6
14967,14970,Undirected,8,,,5
14967,14971,Undirected,9,,,5
14967,15034,Undirected,10,,,3
14967,15035,Undirected,11,,,2
14967,15039,Undirected,12,,,5
14967,15059,Undirected,13,,,3
14967,15060,Undirected,14,,,3
14967,15061,Undirected,15,,,3
14967,14977,Undirected,16,,,3
14967,14972,Undirected,17,,,4
14967,15196,Undirected,18,,,5
14967,15232,Undirected,19,,,4
14967,14976,Undirected,20,,,1
14967,15233,Undirected,21,,,5
14967,15234,Undirected,22,,,2
14967,15235,Undirected,23,,,2
14967,15331,Undirected,24,,,6
14967,15189,Undirected,25,,,1
14967,14990,Undirected,26,,,2
14967,15332,Undirected,27,,,1
14967,15038,Undirected,28,,,1
14967,15601,Undirected,29,,,2
14967,15602,Undirected,30,,,3
14967,15032,Undirected,31,,,1
14968,14969,Undirected,32,,,4
14968,14970,Undirected,33,,,4
14968,14971,Undirected,34,,,4
14969,14970,Undirected,35,,,6
14969,14971,Undirected,36,,,6
14969,14976,Undirected,37,,,4
14969,14977,Undirected,38,,,4
14969,14978,Undirected,39,,,3
14969,14979,Undirected,40,,,2
14969,14980,Undirected,41,,,3
14969,14972,Undirected,42,,,3
14969,14981,Undirected,43,,,2
14969,15039,Undirected,44,,,5
14969,15232,Undirected,45,,,4
14969,15233,Undirected,46,,,5
14969,15234,Undirected,47,,,2
14969,15235,Undirected,48,,,2
14969,15854,Undirected,49,,,5
14969,15855,Undirected,50,,,2
14969,15038,Undirected,51,,,1
14970,14971,Undirected,52,,,6
14970,14976,Undirected,53,,,2
14970,14977,Undirected,54,,,2
14970,14978,Undirected,55,,,3
14970,14979,Undirected,56,,,2
14970,14980,Undirected,57,,,3
14970,14972,Undirected,58,,,1
14970,14981,Undirected,59,,,2
14970,15039,Undirected,60,,,5
14971,14976,Undirected,61,,,2
14971,14977,Undirected,62,,,2
14971,14978,Undirected,63,,,3
14971,14979,Undirected,64,,,2
14971,14980,Undirected,65,,,3
14971,14972,Undirected,66,,,1
14971,14981,Undirected,67,,,2
14971,15039,Undirected,68,,,5
14972,14973,Undirected,69,,,6
14972,14974,Undirected,70,,,12
14972,14975,Undirected,71,,,7
14972,14976,Undirected,72,,,4
14972,14977,Undirected,73,,,12
14972,14978,Undirected,74,,,10
14972,14979,Undirected,75,,,2
14972,14980,Undirected,76,,,18
14972,14981,Undirected,77,,,4
14972,14982,Undirected,78,,,2
14972,14983,Undirected,79,,,3
14972,14984,Undirected,80,,,2
14972,14985,Undirected,81,,,2
14972,14986,Undirected,82,,,3
14972,14987,Undirected,83,,,3
14972,14990,Undirected,84,,,7
14972,14991,Undirected,85,,,11
14972,14992,Undirected,86,,,11
14972,15012,Undirected,87,,,4
14972,15013,Undirected,88,,,4
14972,15014,Undirected,89,,,3
14972,15015,Undirected,90,,,10
14972,15016,Undirected,91,,,6
14972,15017,Undirected,92,,,6
14972,15018,Undirected,93,,,2
14972,15019,Undirected,94,,,1
14972,15025,Undirected,95,,,7
14972,15026,Undirected,96,,,4
14972,15027,Undirected,97,,,3
14972,15028,Undirected,98,,,7
14972,15029,Undirected,99,,,4
14972,15030,Undirected,100,,,3
14972,15031,Undirected,101,,,3
14972,15032,Undirected,102,,,7
14972,15033,Undirected,103,,,3
14972,15034,Undirected,104,,,1
14972,15038,Undirected,105,,,15
14972,15039,Undirected,106,,,1
14972,15055,Undirected,107,,,3
14972,15056,Undirected,108,,,7
14972,15053,Undirected,109,,,2
14972,15057,Undirected,110,,,8
14972,15058,Undirected,111,,,5
14972,14994,Undirected,112,,,2
14972,15059,Undirected,113,,,4
14972,15060,Undirected,114,,,3
14972,15061,Undirected,115,,,3
14972,15069,Undirected,116,,,2
14972,15070,Undirected,117,,,3
14972,15071,Undirected,118,,,2
14972,15072,Undirected,119,,,3
14972,15177,Undirected,120,,,6
14972,15046,Undirected,121,,,3
14972,15047,Undirected,122,,,2
14972,15048,Undirected,123,,,3
14972,15190,Undirected,124,,,2
14972,15191,Undirected,125,,,2
14972,15192,Undirected,126,,,3
14972,15193,Undirected,127,,,2
14972,15194,Undirected,128,,,3
14972,15195,Undirected,129,,,2
14972,15196,Undirected,130,,,9
14972,15197,Undirected,131,,,9
14972,15198,Undirected,132,,,8
14972,15199,Undirected,133,,,3
14972,15200,Undirected,134,,,2
14972,15201,Undirected,135,,,3
14972,15202,Undirected,136,,,2
14972,15203,Undirected,137,,,3
14972,15204,Undirected,138,,,3
14972,15220,Undirected,139,,,4
14972,15221,Undirected,140,,,7
14972,15222,Undirected,141,,,2
14972,15232,Undirected,142,,,8
14972,15233,Undirected,143,,,5
14972,15234,Undirected,144,,,2
14972,15235,Undirected,145,,,2
14972,15331,Undirected,146,,,8
14972,15189,Undirected,147,,,3
14972,15332,Undirected,148,,,1
14972,15390,Undirected,149,,,6
14972,15503,Undirected,150,,,11
14972,15302,Undirected,151,,,1
14972,15254,Undirected,152,,,1
14972,15555,Undirected,153,,,8
14972,15569,Undirected,154,,,2
14972,15589,Undirected,155,,,4
14972,15590,Undirected,156,,,4
14972,15210,Undirected,157,,,1
14972,15600,Undirected,158,,,3
14972,15666,Undirected,159,,,5
14972,15023,Undirected,160,,,1
14972,15022,Undirected,161,,,2
14972,15708,Undirected,162,,,9
14972,15724,Undirected,163,,,5
14972,15729,Undirected,164,,,19
14972,15760,Undirected,165,,,12
14972,15783,Undirected,166,,,7
14972,15819,Undirected,167,,,5
14972,15820,Undirected,168,,,2
14972,15821,Undirected,169,,,3
14972,15822,Undirected,170,,,7
14972,15054,Undirected,171,,,1
14972,15823,Undirected,172,,,2
14972,15824,Undirected,173,,,1
14972,15854,Undirected,174,,,5
14972,15855,Undirected,175,,,2
14972,15993,Undirected,176,,,5
14972,15994,Undirected,177,,,5
14972,15036,Undirected,178,,,1
14972,15037,Undirected,179,,,1
14972,16041,Undirected,180,,,7
14972,15668,Undirected,181,,,1
14972,16111,Undirected,182,,,3
14972,16112,Undirected,183,,,4
14972,15959,Undirected,184,,,1
14972,16128,Undirected,185,,,5
14973,14974,Undirected,186,,,7
14973,14975,Undirected,187,,,6
14973,15025,Undirected,188,,,4
14973,15232,Undirected,189,,,4
14973,15670,Undirected,190,,,6
14973,15036,Undirected,191,,,1
14973,15037,Undirected,192,,,1
14973,15022,Undirected,193,,,1
14973,14980,Undirected,194,,,1
14974,14975,Undirected,195,,,6
14974,15025,Undirected,196,,,4
14974,15036,Undirected,197,,,4
14974,15037,Undirected,198,,,4
14974,15038,Undirected,199,,,3
14974,15022,Undirected,200,,,3
14974,14980,Undirected,201,,,6
14974,15043,Undirected,202,,,4
14974,15044,Undirected,203,,,4
14974,15045,Undirected,204,,,5
14974,15196,Undirected,205,,,5
