Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality
15241,15241,,{'scopus_id': 9745707200},"{'full_name': 'Ballarini, Dario'}",{'department': nan},{'country': 'Italy'},{'university': 'Consiglio Nazionale delle Ricerche'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Italy'},{'itmo_depart_and_others': 'Italy'},13,115,7,0.241827,0.266793,0,0.000815,0,24,1,78,0.065344
15242,15242,,{'scopus_id': 7005736239},"{'full_name': 'De Giorgi, Milena'}",{'department': nan},{'country': 'Italy'},{'university': 'Consiglio Nazionale delle Ricerche'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Italy'},{'itmo_depart_and_others': 'Italy'},13,52,7,0.241827,0.266793,0,0.000815,0,24,1,78,0.065344
15243,15243,,{'scopus_id': 56216745700},"{'full_name': 'Bramati, Alberto'}",{'department': nan},{'country': 'France'},{'university': 'CNRS Centre National de la Recherche Scientifique'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},13,52,7,0.241827,0.266793,0,0.000815,0,24,1,78,0.065344
15244,15244,,{'scopus_id': 35592486700},"{'full_name': 'Gigli, Giuseppe'}",{'department': nan},{'country': 'Italy'},{'university': 'Consiglio Nazionale delle Ricerche'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Italy'},{'itmo_depart_and_others': 'Italy'},13,52,7,0.241827,0.266793,0,0.000815,0,24,1,78,0.065344
15245,15245,,{'scopus_id': 57193098147},"{'full_name': 'Del Valle, Elena'}",{'department': nan},{'country': 'Spain'},{'university': 'IFIMAC-Condensed Matter Physics Center'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Spain'},{'itmo_depart_and_others': 'Spain'},13,52,7,0.241827,0.266793,0,0.000815,0,24,1,78,0.065344
15246,15246,,{'scopus_id': 6602258223},"{'full_name': 'Laussy, Fabrice P.'}",{'department': nan},{'country': 'Spain'},{'university': 'IFIMAC-Condensed Matter Physics Center'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Spain'},{'itmo_depart_and_others': 'Spain'},13,52,7,0.241827,0.266793,0,0.000815,0,24,1,78,0.065344
15247,15247,,{'scopus_id': 9741880700},"{'full_name': 'Sanvitto, Daniele'}",{'department': nan},{'country': 'Italy'},{'university': 'Consiglio Nazionale delle Ricerche'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Italy'},{'itmo_depart_and_others': 'Italy'},13,75,7,0.241827,0.266793,0,0.000815,0,24,1,78,0.065344
15251,15251,,{'scopus_id': 56440108900},"{'full_name': 'Lyzlova, Maria V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,9,8,0.192526,0.204339,0,0.000404,0,3,1,3,0.004714
15252,15252,,{'scopus_id': 57188966696},"{'full_name': 'Paramonov, Alexei V.'}",{'department': '[101] кафедра систем управления и информатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[101] кафедра систем управления и информатики'},3,13,8,0.192526,0.204339,0,0.000404,0,3,1,3,0.004714
15259,15259,,{'scopus_id': 22134763400},"{'full_name': 'Harmand, J. C.'}",{'department': nan},{'country': 'France'},{'university': 'Laboratoire de Photonique et de Nanostructures'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},7,39,7,0.266636,0.286663,0,0.000531,0,5,1,21,0.045994
15260,15260,,{'scopus_id': 14623533100},"{'full_name': 'Tchernysheva, M.'}",{'department': nan},{'country': 'France'},{'university': 'Laboratoire de Photonique et de Nanostructures'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},7,28,7,0.266636,0.286663,0,0.000531,0,5,1,21,0.045994
15262,15262,,{'scopus_id': 6602958574},"{'full_name': 'Gudovskikh, A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'St Petersburg National Research Academic University of the Russian Academy of Sciences'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},4,16,7,0.236137,0.254353,0,0.000357,0,18,1,6,0.021221
15263,15263,,{'scopus_id': 56531979400},"{'full_name': 'Kladko, P.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Connector Optics LLC'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},4,16,7,0.236137,0.254353,0,0.000357,0,18,1,6,0.021221
15267,15267,,{'scopus_id': 12793059400},"{'full_name': ""Il'Ichev, I. V.""}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,20,10,0.155967,0.16424,0,0.000661,0,13,1,10,0.005645
15270,15270,,{'scopus_id': 57034979400},"{'full_name': 'Malyshev, A. G.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,7,0.231077,0.245746,0,0.000512,0,12,1,6,0.009784
15271,15271,,{'scopus_id': 56518170500},"{'full_name': 'Zhumashev, N. K.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,7,0.231077,0.245746,0,0.000512,0,12,1,6,0.009784
