Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles
17463,17463,,{'scopus_id': 7005387816},"{'full_name': 'Gladkova, Nataliya Dorofeevna'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Privolzhsky Research Medical University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},10,40,0,8,0.239977,0.277329,0,0.061207,21,1,45
17465,17465,,{'scopus_id': 13105019100},"{'full_name': 'Nikolaev, Nikolay A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,16,0,8,0.223848,0.254863,0,0.030402,9,1,10
17472,17472,,{'scopus_id': 55887939500},"{'full_name': 'Bazylev, Dmitriy N.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,39,0,8,0.223606,0.25567,0,0.048742,9,1,21
17473,17473,,{'scopus_id': 55967710300},"{'full_name': 'Zheng, Gang'}",{'department': nan},{'country': 'France'},{'university': 'Non-A INRIA - LNE'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},3,8,0,8,0.220384,0.24354,0,0.015972,21,1,3
17474,17474,,{'scopus_id': 7103218872},"{'full_name': 'Nikiforov, Vladimir'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,24,0,8,0.226177,0.259117,13.348109,0.035502,21,0.733333,11
17475,17475,,{'scopus_id': 7003697895},"{'full_name': 'Shiriaev, Anton'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,15,0,8,0.226054,0.257907,0.25,0.033993,21,0.9,9
17476,17476,,{'scopus_id': 16063417300},"{'full_name': 'Freidovich, Leonid B.'}",{'department': nan},{'country': 'Sweden'},{'university': 'Umeå Universitet'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Sweden'},{'itmo_depart_and_others': 'Sweden'},1,3,0,8,0.215104,0.233607,0,0.005431,21,0,0
17477,17477,,{'scopus_id': 55865400600},"{'full_name': 'Popova, Svetlana'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},9,33,0,8,0.195827,0.224225,2442,0.018329,4,0.5,18
17478,17478,,{'scopus_id': 55864481500},"{'full_name': 'Khodyrev, Ivan'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Sankt-Peterburgskij Gosudarstvennyj Elektrotehniceskij Universitet'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,24,0,9,0.164149,0.183502,0,0.011004,4,1,15
17479,17479,,{'scopus_id': 56440909700},"{'full_name': 'Egorov, Artem'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,24,0,9,0.164149,0.183502,0,0.011004,4,1,15
17480,17480,,{'scopus_id': 55864438800},"{'full_name': 'Logvin, Stepan'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,24,0,9,0.164149,0.183502,0,0.011004,4,1,15
17481,17481,,{'scopus_id': 6701324585},"{'full_name': 'Gulyaev, Sergey'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,24,0,9,0.164149,0.183502,0,0.011004,4,1,15
17482,17482,,{'scopus_id': 55865312500},"{'full_name': 'Karpova, Maria'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,24,0,9,0.164149,0.183502,0,0.011004,4,1,15
17483,17483,,{'scopus_id': 55575780100},"{'full_name': 'Mouromtsev, Dmitry'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,24,0,9,0.164149,0.183502,0,0.011004,4,1,15
